|provider    |sport_code|external_league_id|season|missing_provider_team_id|total_usage_count|
|api_football|football  |94                |2022  |762                     |34               |
|api_football|football  |94                |2023  |211                     |34               |
|api_football|football  |94                |2023  |230                     |34               |
|api_football|football  |94                |2023  |240                     |34               |
|api_football|football  |94                |2023  |242                     |34               |
|api_football|football  |94                |2023  |4716                    |34               |
|api_football|football  |94                |2023  |762                     |34               |
|api_football|football  |94                |2024  |211                     |34               |
|api_football|football  |94                |2024  |225                     |34               |
|api_football|football  |94                |2024  |230                     |34               |
|api_football|football  |94                |2024  |240                     |34               |
|api_football|football  |94                |2024  |242                     |34               |
|api_football|football  |94                |2024  |4716                    |34               |
|api_football|football  |94                |2024  |762                     |34               |
|api_football|football  |95                |2022  |225                     |34               |
|api_football|football  |117               |2023  |9419                    |20               |
|api_football|football  |116               |2024  |9419                    |16               |
|api_football|football  |88                |2024  |427                     |6                |
|api_hockey  |hockey    |142               |2024  |1453                    |6                |
|api_hockey  |hockey    |142               |2024  |239                     |6                |
|api_hockey  |hockey    |142               |2024  |271                     |6                |
|api_hockey  |hockey    |142               |2024  |295                     |6                |
|api_hockey  |hockey    |142               |2024  |306                     |6                |
|api_hockey  |hockey    |142               |2024  |319                     |6                |
|api_hockey  |hockey    |142               |2024  |354                     |6                |
|api_hockey  |hockey    |142               |2024  |593                     |6                |
|api_hockey  |hockey    |173               |2024  |1757                    |5                |
|api_hockey  |hockey    |173               |2024  |1760                    |5                |
|api_hockey  |hockey    |173               |2024  |1763                    |5                |
|api_hockey  |hockey    |173               |2024  |1764                    |5                |
|api_hockey  |hockey    |173               |2024  |1765                    |5                |
|api_hockey  |hockey    |173               |2024  |1767                    |5                |
|api_hockey  |hockey    |230               |2024  |1674                    |4                |
|api_hockey  |hockey    |230               |2024  |1676                    |4                |
|api_hockey  |hockey    |230               |2024  |1691                    |4                |
|api_hockey  |hockey    |230               |2024  |1692                    |4                |
|api_hockey  |hockey    |142               |2024  |1414                    |3                |
|api_hockey  |hockey    |142               |2024  |1527                    |3                |
|api_hockey  |hockey    |142               |2024  |1532                    |3                |
|api_hockey  |hockey    |142               |2024  |154                     |3                |
|api_hockey  |hockey    |142               |2024  |165                     |3                |
|api_hockey  |hockey    |142               |2024  |2349                    |3                |
|api_hockey  |hockey    |142               |2024  |276                     |3                |
|api_hockey  |hockey    |142               |2024  |315                     |3                |
|api_hockey  |hockey    |142               |2024  |477                     |3                |
|api_hockey  |hockey    |142               |2024  |491                     |3                |
|api_hockey  |hockey    |142               |2024  |504                     |3                |
|api_hockey  |hockey    |142               |2024  |513                     |3                |
|api_football|football  |61                |2024  |112                     |2                |
|api_football|football  |78                |2022  |175                     |2                |
