|sort_order|table_schema|table_name              |ordinal_position|column_name                |data_type               |udt_name   |is_nullable|column_default                                          |
|13        |ops         |sports_import_plan      |3               |sport_name                 |text                    |text       |NO         |                                                        |
|13        |ops         |sports_import_plan      |4               |enabled                    |boolean                 |bool       |NO         |true                                                    |
|13        |ops         |sports_import_plan      |5               |priority                   |integer                 |int4       |NO         |100                                                     |
|13        |ops         |sports_import_plan      |6               |mode                       |text                    |text       |NO         |'bootstrap'::text                                       |
|13        |ops         |sports_import_plan                |7               |provider                   |text                    |text       |NO         |'api-sports'::text                                                |
|13        |ops         |sports_import_plan                |8               |daily_request_budget       |integer                 |int4       |NO         |7500                                                              |
|13        |ops         |sports_import_plan                |9               |max_parallel_jobs          |integer                 |int4       |NO         |1                                                                 |
|13        |ops         |sports_import_plan                |10              |history_days_back          |integer                 |int4       |NO         |3650                                                              |
|13        |ops         |sports_import_plan                |11              |fixtures_days_forward      |integer                 |int4       |NO         |14                                                                |
|13        |ops         |sports_import_plan                |12              |odds_days_forward          |integer                 |int4       |NO         |3                                                                 |
|13        |ops         |sports_import_plan                |13              |notes                      |text                    |text       |YES        |                                                                  |
|13        |ops         |sports_import_plan                |14              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|13        |ops         |sports_import_plan                |15              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|14        |ops         |league_import_plan                |1               |provider                   |text                    |text       |NO         |                                                                  |
|14        |ops         |league_import_plan                |2               |provider_league_id         |text                    |text       |NO         |                                                                  |
|14        |ops         |league_import_plan                |3               |sport_code                 |text                    |text       |NO         |'football'::text                                                  |
|14        |ops         |league_import_plan                |4               |season                     |text                    |text       |NO         |''::text                                                          |
|14        |ops         |league_import_plan                |5               |enabled                    |boolean                 |bool       |NO         |true                                                              |
|14        |ops         |league_import_plan                |6               |tier                       |integer                 |int4       |NO         |1                                                                 |
|14        |ops         |league_import_plan                |7               |fixtures_days_back         |integer                 |int4       |NO         |7                                                                 |
|14        |ops         |league_import_plan                |8               |fixtures_days_forward      |integer                 |int4       |NO         |14                                                                |
|14        |ops         |league_import_plan                |9               |odds_days_forward          |integer                 |int4       |NO         |3                                                                 |
|14        |ops         |league_import_plan                |10              |max_requests_per_run       |integer                 |int4       |YES        |                                                                  |
|14        |ops         |league_import_plan                |11              |notes                      |text                    |text       |YES        |                                                                  |
|14        |ops         |league_import_plan                |12              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|14        |ops         |league_import_plan                |13              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|15        |ops         |player_enrichment_plan            |1               |id                         |bigint                  |int8       |NO         |nextval('ops.player_enrichment_plan_id_seq'::regclass)            |
|15        |ops         |player_enrichment_plan            |2               |provider                   |text                    |text       |NO         |                                                                  |
|15        |ops         |player_enrichment_plan            |3               |sport_code                 |text                    |text       |NO         |'football'::text                                                  |
|15        |ops         |player_enrichment_plan            |4               |entity                     |text                    |text       |NO         |'player_profile'::text                                            |
|15        |ops         |player_enrichment_plan            |5               |player_id                  |bigint                  |int8       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |6               |source_provider            |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |7               |source_external_player_id  |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |8               |external_team_id           |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |9               |external_league_id         |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |10              |season                     |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |11              |run_group                  |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |12              |priority                   |integer                 |int4       |NO         |50                                                                |
|15        |ops         |player_enrichment_plan            |13              |status                     |text                    |text       |NO         |'pending'::text                                                   |
|15        |ops         |player_enrichment_plan            |14              |attempts                   |integer                 |int4       |NO         |0                                                                 |
|15        |ops         |player_enrichment_plan            |15              |next_run                   |timestamp with time zone|timestamptz|YES        |now()                                                             |
|15        |ops         |player_enrichment_plan            |16              |last_error                 |text                    |text       |YES        |                                                                  |
|15        |ops         |player_enrichment_plan            |17              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|15        |ops         |player_enrichment_plan            |18              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|16        |ops         |provider_sport_matrix             |1               |id                         |bigint                  |int8       |NO         |nextval('ops.provider_sport_matrix_id_seq'::regclass)             |
|16        |ops         |provider_sport_matrix             |2               |provider                   |text                    |text       |NO         |                                                                  |
|16        |ops         |provider_sport_matrix             |3               |sport_code                 |text                    |text       |NO         |                                                                  |
|16        |ops         |provider_sport_matrix             |4               |sport_name                 |text                    |text       |YES        |                                                                  |
|16        |ops         |provider_sport_matrix             |5               |is_enabled                 |boolean                 |bool       |NO         |true                                                              |
|16        |ops         |provider_sport_matrix             |6               |supports_leagues           |boolean                 |bool       |NO         |true                                                              |
|16        |ops         |provider_sport_matrix             |7               |supports_teams             |boolean                 |bool       |NO         |true                                                              |
|16        |ops         |provider_sport_matrix             |8               |supports_fixtures          |boolean                 |bool       |NO         |true                                                              |
|16        |ops         |provider_sport_matrix             |9               |supports_players           |boolean                 |bool       |NO         |false                                                             |
|16        |ops         |provider_sport_matrix             |10              |supports_player_stats      |boolean                 |bool       |NO         |false                                                             |
|16        |ops         |provider_sport_matrix             |11              |supports_odds              |boolean                 |bool       |NO         |false                                                             |
|16        |ops         |provider_sport_matrix             |12              |supports_coaches           |boolean                 |bool       |NO         |false                                                             |
|16        |ops         |provider_sport_matrix             |13              |supports_standings         |boolean                 |bool       |NO         |false                                                             |
|16        |ops         |provider_sport_matrix             |14              |notes                      |text                    |text       |YES        |                                                                  |
|16        |ops         |provider_sport_matrix             |15              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|16        |ops         |provider_sport_matrix             |16              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|17        |ops         |ingest_entity_plan                |1               |id                         |bigint                  |int8       |NO         |nextval('ops.ingest_entity_plan_id_seq'::regclass)                |
|17        |ops         |ingest_entity_plan                |2               |provider                   |text                    |text       |NO         |                                                                  |
|17        |ops         |ingest_entity_plan                |3               |sport_code                 |text                    |text       |NO         |                                                                  |
|17        |ops         |ingest_entity_plan                |4               |entity                     |text                    |text       |NO         |                                                                  |
|17        |ops         |ingest_entity_plan                |5               |enabled                    |boolean                 |bool       |NO         |true                                                              |
|17        |ops         |ingest_entity_plan                |6               |priority                   |integer                 |int4       |NO         |100                                                               |
|17        |ops         |ingest_entity_plan                |7               |scope_type                 |text                    |text       |NO         |'league_season'::text                                             |
|17        |ops         |ingest_entity_plan                |8               |requires_league            |boolean                 |bool       |NO         |true                                                              |
|17        |ops         |ingest_entity_plan                |9               |requires_season            |boolean                 |bool       |NO         |true                                                              |
|17        |ops         |ingest_entity_plan                |10              |default_run_group          |text                    |text       |YES        |                                                                  |
|17        |ops         |ingest_entity_plan                |11              |ingest_mode                |text                    |text       |NO         |'daily'::text                                                     |
|17        |ops         |ingest_entity_plan                |12              |source_endpoint            |text                    |text       |YES        |                                                                  |
|17        |ops         |ingest_entity_plan                |13              |target_table               |text                    |text       |YES        |                                                                  |
|17        |ops         |ingest_entity_plan                |14              |worker_script              |text                    |text       |YES        |                                                                  |
|17        |ops         |ingest_entity_plan                |15              |notes                      |text                    |text       |YES        |                                                                  |
|17        |ops         |ingest_entity_plan                |16              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|17        |ops         |ingest_entity_plan                |17              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                             |
|18        |ops         |fb_entity_audit                   |1               |id                         |bigint                  |int8       |NO         |nextval('ops.fb_entity_audit_id_seq'::regclass)                   |
|18        |ops         |fb_entity_audit                   |2               |entity                     |text                    |text       |NO         |                                                                  |
|18        |ops         |fb_entity_audit                   |3               |primary_provider           |text                    |text       |YES        |                                                                  |
|18        |ops         |fb_entity_audit                   |4               |fallback_provider          |text                    |text       |YES        |                                                                  |
|18        |ops         |fb_entity_audit                   |5               |coverage_status            |text                    |text       |YES        |                                                                  |
|18        |ops         |fb_entity_audit                   |6               |real_data_flow             |boolean                 |bool       |YES        |                                                                  |
|18        |ops         |fb_entity_audit                   |7               |execution_mode             |text                    |text       |YES        |                                                                  |
|18        |ops         |fb_entity_audit                   |8               |automator_ready            |boolean                 |bool       |YES        |false                                                             |
|18        |ops         |fb_entity_audit                   |9               |requires_pro               |boolean                 |bool       |YES        |false                                                             |
