|id |provider             |sport_code|entity             |coverage_status|is_enabled|provider_priority|merge_priority|fetch_priority|quality_rating|availability_scope|free_plan_supported|paid_plan_supported|expected_depth|is_primary_source|is_fallback_source|is_merge_source|source_endpoint |target_table                     |worker_script                     |notes                                         |limitations                                                                                   |next_action                                                                           |created_at                   |updated_at                   |
|24 |api_handball         |HB        |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Handball teams                                |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|25 |api_handball         |HB        |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Handball fixtures                             |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|26 |api_baseball         |BSB       |leagues            |tech_ready     |true      |1                |1             |10            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Baseball leagues                              |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|27 |api_baseball         |BSB       |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Baseball teams                                |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|28 |api_baseball         |BSB       |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Baseball fixtures                             |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|29 |api_rugby            |RGB       |leagues            |tech_ready     |true      |1                |1             |10            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Rugby leagues                                 |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|30 |api_rugby            |RGB       |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Rugby teams                                   |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|31 |api_rugby            |RGB       |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Rugby fixtures                                |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|32 |api_cricket          |CK        |leagues            |tech_ready     |true      |1                |1             |10            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Cricket leagues                               |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|33 |api_cricket          |CK        |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Cricket teams                                 |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|34 |api_cricket          |CK        |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Cricket fixtures                              |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
