change_type,category,relative_path,old_modified_at,new_modified_at,old_size_bytes,new_size_bytes
NEW,scripts,01_seed\105_prepare_free_test_targets.sql,,2026-03-10 20:36:20,,0
NEW,scripts,01_seed\106_reduce_football_for_free_mode.sql,,2026-03-10 20:49:14,,0
NEW,scripts,01_seed\107_mark_football_maintenance_targets.sql,,2026-03-10 20:50:45,,0
NEW,scripts,01_seed\108_reset_today_scheduler_queue.sql,,2026-03-10 20:51:42,,0
NEW,scripts,01_seed\109_enable_hockey_basketball_free_targets.sql,,2026-03-10 20:58:59,,0
NEW,scripts,01_seed\api_football\00_seed_api_football_leagues.sql,,2026-02-23 12:13:50,,374
NEW,scripts,01_seed\api_football\01_audit_api_football_import.sql,,2026-02-23 15:27:33,,346
NEW,scripts,02_validation\020_hockey\021_parse_api_hockey_leagues.sql,,2026-02-28 23:49:18,,1364
NEW,scripts,02_validation\020_hockey\021_parse_api_hockey_leagues_raw.sql,,2026-03-01 23:22:34,,1266
NEW,scripts,02_validation\020_hockey\022_parse_api_hockey_teams_raw.sql,,2026-03-01 23:22:34,,1850
NEW,scripts,02_validation\020_hockey\022_parse_api_hockey_teams_raw_V1.sql,,2026-03-01 21:53:43,,1613
NEW,scripts,02_validation\020_hockey\022_view_api_hockey_leagues_latest.sql,,2026-03-01 19:20:57,,318
NEW,scripts,02_validation\021_check_missing_ingest_targets.sql,,2026-02-27 14:34:34,,597
NEW,scripts,02_validation\022_check_predict_ml_predictions.sql,,2026-02-19 10:46:55,,1802
NEW,scripts,02_validation\024_show_ml_view_definitions.sql,,2026-02-19 10:55:49,,473
NEW,scripts,02_validation\025_check_value_ev_latest.sql,,2026-02-19 10:57:18,,318
NEW,scripts,02_validation\026_check_block_candidates_latest.sql,,2026-02-19 11:04:02,,449
NEW,scripts,02_validation\check_empty_blocks.sql\010_trg_template_blocks_guard.sql,,2026-02-11 12:06:53,,1168
NEW,scripts,02_validation\check_empty_blocks.sql\011_trg_template_block_matches_not_empty.sql,,2026-02-11 12:08:36,,1556
NEW,scripts,02_validation\check_template_validity.sql\001_mm_validate_template.sql,,2026-02-11 09:11:59,,1082
NEW,scripts,03_generation\002_mm_update_run_probability.sql\002_mm_update_run_probability.sql,,2026-02-11 08:52:19,,376
NEW,scripts,03_generation\002_mm_update_run_probability.sql\005_mm_template_state.sql,,2026-02-11 14:27:11,,616
NEW,scripts,03_generation\002_mm_update_run_probability.sql\006_mm_actions_blocks.sql,,2026-02-11 15:28:03,,327
NEW,scripts,03_generation\002_mm_update_run_probability.sql\007_mm_actions_fixed.sql,,2026-02-11 15:20:52,,326
NEW,scripts,03_generation\002_mm_update_run_probability.sql\008_mm_ui_preview_and_generate.sql,,2026-02-11 15:20:28,,178
NEW,scripts,03_generation\011_mm_preview_run.sql\011_mm_preview_run.sql,,2026-02-12 13:47:08,,5508
