|table_name|constraint_name|constraint_type|column_name|foreign_table_schema|foreign_table_name|foreign_column_name|
|sport_dimension_rules|106567_311330_10_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_11_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_12_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_13_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_14_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_15_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_17_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_18_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_1_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_2_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_3_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_4_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_5_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_6_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_7_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_8_not_null|CHECK|||||
|sport_dimension_rules|106567_311330_9_not_null|CHECK|||||
|sport_dimension_rules|fk_sport_dimension_rules_sport|FOREIGN KEY|sport_code||||
|sport_dimension_rules|sport_dimension_rules_pkey|PRIMARY KEY|id|ops|sport_dimension_rules|id|
