|sport|provider             |entity  |provider_role  |structure_status |provider_status    |build_mode          |next_build_step               |rows_count|
|TN   |api_tennis           |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |2         |
|TN   |api_tennis           |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |2         |
|TN   |api_tennis           |leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |2         |
|TN   |api_tennis           |odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |2         |
|TN   |api_tennis           |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |2         |
|TN   |api_tennis           |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |2         |
|VB   |api_volleyball       |coaches |PEOPLE_PROVIDER|STRUCTURE_READY  |ALT_PROVIDER_NEEDED|PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |1         |
|VB   |api_volleyball       |fixtures|CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_PARSER_AND_STAGING|1         |
|VB   |api_volleyball       |leagues |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_PARSER_AND_STAGING|1         |
|VB   |api_volleyball       |odds    |ODDS_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_ODDS_LINKING      |1         |
|VB   |api_volleyball       |players |PEOPLE_PROVIDER|STRUCTURE_READY  |ALT_PROVIDER_NEEDED|PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |1         |
|VB   |api_volleyball       |teams   |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_PARSER_AND_STAGING|1         |
