|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|ops|v_dashboard_summary|8|total_pending|numeric|numeric|YES||
|ops|v_dashboard_summary|9|total_running|numeric|numeric|YES||
|ops|v_dashboard_summary|10|total_done|numeric|numeric|YES||
|ops|v_dashboard_summary|11|total_error|numeric|numeric|YES||
|ops|v_dashboard_summary|12|progress_percent|numeric|numeric|YES||
|ops|v_fb_api_expansion_ingest_jobs|1|ingest_target_id|bigint|int8|YES||
|ops|v_fb_api_expansion_ingest_jobs|2|sport_code|text|text|YES||
|ops|v_fb_api_expansion_ingest_jobs|3|canonical_league_id|bigint|int8|YES||
|ops|v_fb_api_expansion_ingest_jobs|4|provider|text|text|YES||
|ops|v_fb_api_expansion_ingest_jobs|5|provider_league_id|text|text|YES||
