|id   |sport_code|canonical_league_id|provider    |provider_league_id|season|enabled|tier|run_group      |fixtures_days_back|fixtures_days_forward|max_requests_per_run|updated_at                   |
|4,170|FB        |20,928             |api_football|221               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,937|FB        |20,929             |api_football|223               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,491|FB        |20,930             |api_football|110               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,434|FB        |20,931             |api_football|112               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,553|FB        |20,932             |api_football|299               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,675|FB        |20,933             |api_football|300               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,450|FB        |20,934             |api_football|406               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,630|FB        |20,935             |api_football|322               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,694|FB        |20,936             |api_football|387               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,614|FB        |20,937             |api_football|388               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,802|FB        |20,938             |api_football|330               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,615|FB        |20,939             |api_football|119               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,860|FB        |20,940             |api_football|120               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,859|FB        |20,941             |api_football|124               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,786|FB        |20,942             |api_football|125               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,291|FB        |20,943             |api_football|126               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,503|FB        |20,944             |api_football|234               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,303|FB        |20,945             |api_football|381               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,546|FB        |20,946             |api_football|380               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,495|FB        |20,947             |api_football|273               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,504|FB        |20,948             |api_football|271               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,669|FB        |20,949             |api_football|272               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,398|FB        |20,950             |api_football|70                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
