|id   |provider        |sport_code|entity  |provider_league_id|season|run_group           |priority|status |attempts|last_attempt                 |next_run                     |created_at                   |updated_at                   |
|1,159|api_hockey      |HK        |fixtures|101               |      |HK_TOP              |5,000   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-25 15:34:27.650 +0100|
|1,147|api_hockey      |HK        |fixtures|63                |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:06:03.408 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:06:04.759 +0200|
|1,141|api_hockey      |HK        |fixtures|59                |      |HK_TOP              |1,010   |done   |1       |2026-03-31 12:05:56.088 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:05:59.128 +0200|
|1,177|api_hockey      |HK        |fixtures|141               |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:29:07.510 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:29:08.743 +0200|
|1,171|api_hockey      |HK        |fixtures|242               |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:29:06.172 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:29:07.483 +0200|
|1,134|api_hockey      |HK        |teams   |173               |      |HK_TOP              |2,020   |pending|0       |                             |2026-03-25 13:17:08.838 +0100|2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.778 +0100|
|1,140|api_hockey      |HK        |teams   |59                |      |HK_TOP              |2,020   |pending|0       |                             |2026-03-25 13:17:08.838 +0100|2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.778 +0100|
|1,165|api_hockey      |HK        |fixtures|37                |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:29:04.088 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:29:06.144 +0200|
|1,183|api_hockey      |HK        |fixtures|257               |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:29:08.773 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:29:10.003 +0200|
|1,135|api_hockey      |HK        |fixtures|173               |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:06:02.049 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:06:03.378 +0200|
|1,237|api_football    |FB        |odds    |180               |2022  |FB_API_EXPANSION    |20      |skipped|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-23 16:10:34.126 +0100|
|1,190|api_hockey      |HK        |odds    |207               |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,239|api_football    |FB        |teams   |197               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
|1,191|api_hockey      |HK        |players |207               |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,192|api_hockey      |HK        |coaches |207               |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,240|api_football    |FB        |fixtures|197               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
|1,193|api_hockey      |HK        |leagues |6                 |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,243|api_football    |FB        |teams   |210               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
|1,196|api_hockey      |HK        |odds    |6                 |      |HK_TOP              |2,040   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,244|api_football    |FB        |fixtures|210               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
|1,197|api_hockey      |HK        |players |6                 |      |HK_TOP              |2,050   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,198|api_hockey      |HK        |coaches |6                 |      |HK_TOP              |2,060   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,199|api_hockey      |HK        |leagues |14                |      |HK_TOP              |2,010   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,247|api_football    |FB        |teams   |211               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
|1,248|api_football    |FB        |fixtures|211               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
